ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,ògòAï[êî,òg1-1,òg1-2,òg1-3,òg1-4,òg1-5,òg1-6,òg1-7,òg1-8,òg2-2,òg2-3,òg2-4,òg2-5,òg2-6,òg2-7,òg2-8,òg3-3,òg3-4,òg3-5,òg3-6,òg3-7,òg3-8,òg4-4,òg4-5,òg4-6,òg4-7,òg4-8,òg5-5,òg5-6,òg5-7,òg5-8,òg6-6,òg6-7,òg6-8,òg7-7,òg7-8,òg8-8
2026072501010112,1,07250905,11,       5340,   0.0,  65.6,  94.0,  78.0,  42.6,  53.0,  41.8, 111.8,   0.0,  67.8,  91.9,  39.7,  47.5,  35.3,  91.9,   0.0,  81.1,  32.0,  41.8,  33.6,  86.2,   0.0,  32.3,  33.3,  23.7,  70.1,   0.0,   5.6,   4.1,  31.8,  48.6,   5.1,  28.9,  13.6,  21.6,  57.4
2026072501010112,1,07242052,11,        267,   0.0,  25.8,  51.7,   0.0,  34.4,  68.9,  41.3,  51.7,   0.0,  41.3,  41.3,  18.8,  29.5,  41.3,  34.4,   0.0,  68.9,  22.9,  18.8,  25.8,  34.4,   0.0,  29.5,  29.5,  22.9,  41.3,   0.0,   9.8,   4.9,  34.4, 206.9,   6.8,  22.9,  25.8,  15.9,  68.9
2026072501010112,4,07251608,11,     130606,   0.0, 297.7, 301.2, 253.0,  93.3,  89.9,  24.8, 229.5,   0.0, 318.3, 318.3, 125.5, 103.4,  78.1, 294.2,   0.0, 248.6,  73.5,  67.3,  37.7, 220.5,   0.0,  42.4,  42.3,  19.1, 188.8,   0.0,   6.9,   3.4,  65.7,  51.3,   4.0,  68.1,   4.1,  32.1, 440.0
2026072504020101,1,07250939,10,      28443,   0.0,  23.2,  36.0,  64.6, 227.2, 333.9,  25.9,  13.6,   0.0,  12.5,  28.2, 101.5, 141.3,   8.4,   5.0,   0.0,  46.5, 195.0, 121.1,  14.0,   8.2,   0.0, 361.3, 306.1,  23.6,  19.2,   0.0, 259.3,  85.4,  71.5,   0.0, 104.9,  73.2,  28.6,   4.8,  81.3
2026072504020101,1,07250901,10,      15042,   0.0,  25.9,  45.1,  78.2, 179.3, 228.5,  30.2,  13.9,   0.0,  13.2,  32.2,  88.9, 118.9,   8.0,   5.3,   0.0,  44.3, 164.1,  77.2,  14.5,   7.7,   0.0, 376.0, 277.5,  21.5,  18.6,   0.0, 208.1,  74.7,  63.7,   0.0,  91.7,  56.3,  24.3,   4.9,  68.9
2026072504020101,1,07242059,10,        535,   0.0,  18.8,  25.9,  59.2,  25.9, 207.3,  25.9,  12.1,   0.0,  14.8,  29.6,  23.0,  31.8,  12.1,   6.4,   0.0,  41.4,  82.9,  51.8,  18.8,   9.2,   0.0, 138.2,  82.9,  31.8,  17.2,   0.0, 138.2,  27.6,  82.9,   0.0,  51.8,  27.6,  37.6,   8.1,  51.8
2026072504020101,4,07250959,10,      71832,   0.0,  13.0,  49.7,  85.5, 345.7, 540.4,  26.7,  16.2,   0.0,  13.1,  29.4, 118.4, 253.0,   5.7,   4.0,   0.0,  67.3, 314.5, 240.9,  15.3,   9.9,   0.0, 501.5, 515.4,  31.9,  23.3,   0.0, 492.6, 132.2, 124.5,   0.0, 140.5, 128.2,  34.6,   5.0, 114.5
2026072504020102,1,07251009,14,      33726,   0.0, 145.2,  83.2, 144.4, 159.3,  88.6,  74.6, 124.4,   0.0,  44.0,  88.0,  75.5,  42.0,  40.2,  81.6,  57.3,  17.6,  25.0,   6.4,   7.7,  23.4, 281.0,  42.6,  13.2,  17.2,  49.7, 199.5,  16.9,  20.6,  46.0,  38.4,   5.4,  15.7,  44.9,  16.1, 164.3
2026072504020102,1,07250900,14,      11608,   0.0, 107.0,  79.6, 108.3, 113.8,  86.5,  72.5, 111.0,   0.0,  38.1,  71.3,  58.4,  41.6,  40.7,  95.7,  53.2,  19.9,  22.7,   7.0,   7.3,  22.8, 290.2,  36.7,  15.9,  18.5,  53.5, 147.4,  14.3,  17.6,  39.9,  48.6,   6.1,  15.8,  52.6,  14.6, 155.1
2026072504020102,1,07242100,14,        437,   0.0,  56.4,  33.8, 338.6,  56.4,  42.3, 112.8,  42.3,   0.0,  56.4,  56.4,  26.0,  26.0,  26.0,  42.3, 169.3,  21.1,  33.8,   9.9,   9.6,  19.9, 169.3,  33.8,  17.8,  11.2,  48.3, 338.6,  21.1,  18.8,  67.7,  48.3,   8.6,  13.0,  37.6,  10.5, 338.6
2026072504020102,4,07251027,14,      95646,   0.0, 267.6,  96.8, 196.0, 241.4, 122.3, 120.7, 196.0,   0.0,  40.4,  88.1,  98.0,  45.7,  51.1, 108.5,  50.3,  14.9,  23.9,   6.6,   6.6,  23.3, 305.0,  46.2,  14.1,  16.2,  45.7, 247.9,  17.5,  21.3,  48.6,  33.0,   5.3,  16.3,  41.5,  16.9, 156.0
2026072504020103,1,07251039,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026072504020103,1,07250905,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026072504020103,1,07242053,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026072504020103,4,07251057,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026072504020104,1,07251109,15,      36879,   0.0, 117.6, 172.1, 211.7, 291.6, 357.2, 304.0,  81.1, 172.1,  11.9,  13.4,  27.0,  58.4,  95.5,   3.7, 114.7,  19.1,  40.7,  59.0, 115.7,   7.3,  75.6,  40.3,  72.5, 104.6,   6.8, 408.3, 104.3, 147.3,  13.0, 697.1, 162.3,  27.5, 571.6,  42.8,   7.5
2026072504020104,1,07250901,15,       7680,   0.0,  86.2, 132.2, 121.4, 156.6, 135.2, 132.2,  65.4, 152.6,  10.9,  14.0,  27.6,  54.6,  82.6,   4.4, 165.3,  22.0,  43.7,  47.6,  73.4,   8.5,  91.5,  49.6,  68.4,  73.4,   7.9, 350.1,  73.4,  67.6,  11.0, 396.8, 104.4,  24.1, 541.0,  27.5,   7.0
2026072504020104,1,07242053,15,        454,   0.0,  39.0,  35.1, 351.8,  87.9, 175.9, 175.9, 117.2, 117.2,  14.6,  19.5,  20.6,  58.6,  50.2,   2.6,  58.6,  20.6,  27.0,  31.9,  43.9,  15.2,  70.3,  35.1,  43.9,  58.6,  11.3, 175.9,  87.9,  58.6,  31.9, 351.8,  87.9,  23.4,   0.0,  25.1,  18.5
2026072504020104,4,07251127,15,     116881,   0.0, 180.0, 341.8, 393.8, 588.1, 675.9, 761.1,  77.2, 203.1,  11.8,  10.6,  30.3,  80.8, 134.1,   3.4, 157.8,  20.9,  49.3,  97.7, 225.8,   6.7, 107.3,  50.2, 108.3, 206.3,   5.9, 479.2, 148.7, 278.7,  14.7,1006.4, 302.9,  25.2,1207.7,  60.4,   6.9
