ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,ògòAï[êî,òg1-1,òg1-2,òg1-3,òg1-4,òg1-5,òg1-6,òg1-7,òg1-8,òg2-2,òg2-3,òg2-4,òg2-5,òg2-6,òg2-7,òg2-8,òg3-3,òg3-4,òg3-5,òg3-6,òg3-7,òg3-8,òg4-4,òg4-5,òg4-6,òg4-7,òg4-8,òg5-5,òg5-6,òg5-7,òg5-8,òg6-6,òg6-7,òg6-8,òg7-7,òg7-8,òg8-8
2026071902011210,1,07190901,14,       6472,   0.0,  65.9,  30.5,  37.1,  27.8,  10.3,   6.9,  22.2,   0.0,  91.1, 109.0,  91.1,  91.1,  61.1, 116.6, 161.8,  55.7,  41.7,  23.3,  16.6,  45.5, 501.5,  56.3,  30.7,  16.3,  55.7, 109.0,  22.5,  14.0,  31.3, 102.3,   5.7,  18.3,  25.8,  12.1, 161.8
2026071902011210,1,07182055,14,        669,   0.0,  34.5,  27.2,  47.1,  19.2,   9.2,   5.5,  12.6,   0.0,  74.0, 172.8,  57.6,  34.5,  86.4, 103.6,   0.0,  51.8,  74.0,  18.5,  23.5,  43.2, 518.4,  64.8,  34.5,  21.6,  57.6, 259.2,  19.9,  23.5,  16.7,  86.4,   8.2,  20.7, 518.4,  14.8,  37.0
2026071902011210,4,07191452,14,     140125,   0.0, 197.8,  32.8,  36.6,  34.6,   8.8,   5.9,  30.7,   0.0, 238.1, 308.5, 243.4, 201.8, 114.7, 326.1, 229.5,  60.8,  58.6,  26.7,  15.5,  68.4, 385.0,  66.7,  29.8,  15.1,  67.2, 191.1,  27.2,  14.9,  61.2,  87.0,   4.3,  18.1,  23.9,   9.4, 514.6
2026071902011211,1,07191509,13,     450370,   0.0, 206.6, 247.1, 152.8, 169.5, 127.3,  88.1,  88.3,   0.0, 137.7,  53.5,  65.7,  31.1,  26.3,  26.7,   0.0,  97.4,  98.2,  51.2,  43.4,  41.0, 158.7,  40.8,  21.0,  15.6,  15.2, 293.0,  25.9,  20.8,  17.5,  97.6,   6.3,   6.4,  26.5,   4.1,  21.3
2026071902011211,1,07190901,13,     105265,   0.0, 175.8, 207.5, 122.6, 153.6, 111.6,  73.8,  76.8,   0.0, 141.6,  65.4,  67.1,  34.9,  26.4,  26.9,   0.0,  99.9,  91.8,  53.1,  41.0,  41.2, 175.8,  39.7,  21.9,  15.8,  15.9, 281.3,  25.5,  19.7,  17.6, 106.6,   6.2,   6.3,  23.2,   4.2,  23.5
2026071902011211,1,07182055,13,      53988,   0.0, 181.9, 196.4, 138.5, 159.6, 101.8,  65.2,  80.3,   0.0, 159.6,  75.9,  81.8,  39.5,  26.9,  29.9,   0.0, 123.4, 108.9,  61.8,  44.8,  48.9, 229.8,  43.5,  25.3,  16.3,  17.9, 337.4,  31.0,  20.8,  20.3, 139.0,   5.6,   5.8,  26.0,   3.6,  24.2
2026071902011211,4,07191526,13,     660734,   0.0, 258.3, 308.4, 183.9, 211.1, 149.3, 108.2,  96.0,   0.0, 133.4,  61.8,  76.9,  25.4,  29.9,  28.1,   0.0,  88.9, 112.7,  40.8,  48.4,  38.2, 173.4,  42.2,  17.5,  17.4,  15.7, 324.7,  23.0,  23.3,  17.9,  88.3,   6.5,   5.7,  29.9,   4.2,  19.4
2026071902011212,1,07191554,14,      74474,   0.0,  20.9,  13.6,  22.7,  73.7, 101.0,  44.8,  90.0,   0.0,   7.5,  12.0,  46.6,  67.5,  24.5,  62.3,  15.4,   4.9,  16.9,  28.8,  12.9,  26.5, 166.3,  29.9,  40.6,  17.1,  38.7, 264.7,  71.6,  38.8,  55.4, 384.7,  52.2,  61.9, 158.1,  35.7, 238.5
2026071902011212,1,07190902,14,       7763,   0.0,  35.8,   8.9,  42.0,  84.7,  97.0,  56.2, 103.7,   0.0,  11.6,  14.3,  50.9,  68.3,  32.8,  69.9,   9.1,   5.1,   9.4,  29.9,  14.3,  34.9, 286.4,  30.8,  42.6,  18.8,  43.5, 158.3,  67.5,  42.3,  52.7, 601.6,  43.2,  39.8, 162.6,  25.1, 158.3
2026071902011212,1,07182055,14,       2363,   0.0, 122.0,   4.2, 122.0, 305.2, 261.6, 183.1, 915.6,   0.0,  34.5,  59.0, 130.8, 130.8,  96.3, 203.4,   4.3,   3.9,   4.1,  79.6,  38.9,  91.5, 915.6,  41.6, 140.8,  49.4, 114.4, 610.4, 122.0, 130.8,  87.2, 610.4,  55.4,  87.2, 457.8,  23.4, 114.4
2026071902011212,4,07191611,14,     241971,   0.0,  30.2,   9.5,  24.5,  53.4, 135.3,  54.4, 103.2,   0.0,   7.5,  12.8,  50.6,  88.5,  27.9,  77.0,   9.4,   4.5,  12.8,  36.6,  13.9,  32.4, 274.9,  28.5,  56.3,  20.6,  47.0, 285.4,  99.6,  36.4,  80.2, 627.1,  74.2,  96.9, 215.3,  48.4, 291.6
2026071903020801,1,07190944,10,      30111,   0.0,   5.4,   5.3,  14.0,  51.5,   7.2,  29.8,   3.0,   0.0,  29.3, 106.0, 178.1,  64.4, 144.0,  24.9,   0.0, 108.5, 191.2,  52.4, 158.7,  21.9,   0.0, 235.7, 113.2, 106.5,  64.6,   0.0, 208.3, 124.7, 114.3,   0.0, 149.5,  27.1, 530.3,  56.5, 103.7
2026071903020801,1,07190901,10,      13910,   0.0,   6.4,   5.8,  13.0,  51.5,   7.0,  26.1,   2.7,   0.0,  38.5,  98.0, 115.9,  82.2, 117.1,  31.6,   0.0,  97.1, 129.8,  50.6, 115.9,  31.2,   0.0, 256.6,  89.8,  83.5,  60.2,   0.0, 160.8,  87.6,  79.2,   0.0, 119.7,  29.0, 399.2,  44.9, 145.6
2026071903020801,1,07182100,10,        892,   0.0,  11.5,   5.8,   9.6,  43.2,   7.6,  11.9,   5.5,   0.0,  27.6,  43.2,  57.6,  62.8, 115.2,  31.4,   0.0,  36.3,  62.8,  32.9,  53.1,  30.0,   0.0, 115.2,  49.3,  32.9,  31.4,   0.0,  69.1,  46.0,  31.4,   0.0,  53.1,  30.0, 230.4,  36.3, 115.2
2026071903020801,4,07191000,10,      73962,   0.0,   5.1,   5.8,  19.4,  74.6,   8.8,  45.0,   2.0,   0.0,  55.0, 189.8, 347.3, 103.6, 289.4,  12.7,   0.0, 188.5, 409.4,  82.5, 323.8,  35.1,   0.0, 502.8, 197.6, 226.5,  98.9,   0.0, 421.4, 270.3, 197.6,   0.0, 288.0,  44.1,1042.1, 107.5, 170.5
2026071903020802,1,07191019,16,      56592, 145.2, 117.2,  23.4,  13.5, 116.6,  58.3,   9.2,   5.2,1370.5, 176.8, 169.9, 296.3, 270.7, 113.9,  74.8, 189.8,  35.4, 149.6,  92.1,  23.3,  13.7,  93.7, 153.3,  75.7,  14.6,   7.2, 933.1, 259.5,  87.0,  62.2, 953.4,  55.7,  34.6,  60.4,   4.9,  11.0
