年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
6,,7,,,,,ジュンツバメガエシ,,牡,6,,岩田康誠,58,,(栗),友道康夫,,河合純二,ノーザンファーム,黒鹿,3月22日
7,,8,,,,,レイヤードレッド,,牡,4,,長浜鴻緒,58,,(美),手塚貴久,,ミルファーム,ミルファーム,鹿毛,3月19日
7,,9,,,,,バースライト,,牡,4,,浜中俊,58,,(栗),武幸四郎,,キャロットファーム,ノーザンファーム,鹿毛,2月27日
8,,10,,,,,ドッビアーコ,,セ,5,*,小沢大仁,58,,(栗),奥村豊,(外),吉田和美,"Bonne Chance Farm LLC",芦毛,4月15日
8,,11,,,,,ウェイクフィールド,,牡,3,,横山和生,55,,(美),嘉藤貴行,,社台レースホース,社台ファーム,鹿毛,2月19日
年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
2026,07,25,札幌,11,ＴＶｈ賞･3勝,３歳以上・３勝クラス/1600万下(定量)(混)(特指),芝,1200,12,
枠番,B,番,印,M2,M3,M4,  馬名,Ｃ,性別,年齢,替,騎手,斤量,減M,所属,調教師,馬記号, 馬主, 生産者,毛色,誕生
1,,1,,,,,エヴァンスウィート,,牝,5,*,鮫島克駿,56,,(栗),友道康夫,,佐々木主浩,ノーザンファーム,栗毛,3月24日
2,,2,,,,,シカゴスティング,,牝,5,*,浜中俊,56,,(栗),庄野靖志,,辻川弘,社台ファーム,黒鹿,4月17日
3,,3,,,,,サウスバンク,,牝,4,*,横山武史,56,,(栗),吉岡辰弥,,下河辺隆行,下河辺牧場,鹿毛,4月 5日
4,,4,,,,,ルーフ,,牝,6,,佐々木大,56,,(栗),清水久詞,,白日光,坂本智広,鹿毛,3月19日
5,B,5,,,,,メルトユアハート,,牝,5,,横山和生,56,,(栗),長谷川浩,,ロードホースクラブ,ケイアイファーム,鹿毛,4月20日
5,,6,,,,,ウィルオレオール,,牡,4,,石川倭,58,,[地],小国博行,[地],前田良平,風ノ丘ファーム,鹿毛,4月29日
6,,7,,,,,ロジケープ,,牡,3,,丹内祐次,55,,(美),尾形和幸,,久米田正平,オリエント牧場,鹿毛,3月12日
6,,8,,,,,アンジュプロミス,,牝,3,,古川奈穂,53,,(栗),矢作芳人,,竹下浩一,グランド牧場,鹿毛,3月27日
7,,9,,,,,クリエープキー,,牝,3,*,古川吉洋,53,,(美),牧光二,,中平和宏,社台ファーム,鹿毛,4月 6日
